id,created_at,conversation_id,text,author_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1.4997250329934766e+18,2022-03-04T12:34:46.000Z,1.4997250329934766e+18,"RT @DodoTheBird7: Krótki utwór o panu Rydzyku i wędrówce dusz:
W poprzednim życiu pewnie był glistą,
Ale nikczemną,
Więc jest redemptorystą…",501057882.0,2,0,0,0
1.499724091888128e+18,2022-03-04T12:31:01.000Z,1.499724091888128e+18,"ks. Rydzyk sieje propagandę - ""Głos Moskwy w Twoim domu...""

- pastor @PawelChojecki

TRWA program w #IPPTV na żywo!
▶️ https://t.co/prxh777qgc 
#Ukraine #PrayForUkraine #UkraineUnderAttaсk #StandWithUkraine️ 
#Rydzyk Rydzyk #StopPutinNOW #StopWarInUkraine https://t.co/ztEKBJOAVR",2427166447.0,8,0,8,0
1.4997360800644751e+18,2022-03-04T13:18:39.000Z,1.4997360800644751e+18,RT @SKM_Warszawa: Ten słuchasz to nasz Wojtek - maszynista. Bardzo dumni jesteśmy z Wojtka i mieszkańców Kutna😍 #StandWithUkraine️,67816126.0,7,0,0,0
1.49973544542874e+18,2022-03-04T13:16:08.000Z,1.49973544542874e+18,"RT @RadekZKraka: Pilne komunikaty!
Do nieba.
Można prosić o ciągły opad deszczu na Ukrainę?
Do ziemi.
Żyzna ukraińska ziemio, przyjmij cięż…",9.688670210342708e+17,4,0,0,0
1.4997353299804324e+18,2022-03-04T13:15:41.000Z,1.4997353299804324e+18,"#ThisWarOfMine by @11bitstudios 

#Ukraine #StandWithUkraine️ #SupportUkraine #Xbox 

Kupiłem też wersję na PC via @GOGcom 
https://t.co/16EarzDDPn https://t.co/n8FrrY76v3 https://t.co/CzDYwRh1Jz",4570510595.0,0,0,0,0
1.4997343550899692e+18,2022-03-04T13:11:48.000Z,1.4997343550899692e+18,"Koniec z uzależnieniem od paliw kopalnych, które napędza rosyjskie działania wojenne.
Wraz z 450 organizacjami z całego świata podpisaliśmy apel ukraińskich organizacji.
https://t.co/IT2Edg9See
#StandWithUkraine️ #StopWarInUkraine https://t.co/Sfh8EnfTZg",8.738984395742044e+17,1,0,2,0
1.4997342193959365e+18,2022-03-04T13:11:16.000Z,1.4997342193959365e+18,"RT @tzimoch: Piękna. Ulica. Grafika też.Warszawa.
#StandWithUkraine️ https://t.co/Ew80VGUzuz",3254407576.0,1,0,0,0
1.499734020355154e+18,2022-03-04T13:10:28.000Z,1.499734020355154e+18,"Wsparcie psychologiczne dla osób dotkniętych wojną w Ukrainie 🇺🇦
https://t.co/cur6ocvgFL
Darmowe/niskopłatne konsultacje psychologiczne

@K_Stanowski @sadek @hazan @tonyszko pomożecie nagłośnić akcje?
#StopPutinNOW #StandWithUkraine️",2282137890.0,0,0,0,0
1.4997338144652534e+18,2022-03-04T13:09:39.000Z,1.4997338144652534e+18,"Ambasador Polski w Ukrainie, Bartosz Cichocki, nie sądzi, żeby rosjanie dali radę wejść do Kijowa. Ambasador czuję się w Kijowie bardzo bezpiecznie. Wewnątrz bardziej martwi się o weekendowy wynik Legii niż o swoje bezpieczeństwo!

#WOJNA 
#StandWithUkraine️ 
#LegiaWarszawa https://t.co/vwmpbhyaEs",1.0134627661354108e+18,0,0,4,0
1.4997337319255e+18,2022-03-04T13:09:20.000Z,1.4997337319255e+18,RT @mkleniewski: @cocacolapolska @CocaColapolska  wy naprawdę nie zamierzacie wyjść z rynku Rosyjskiego i przyłączyć się do ogólnoświatowyc…,3437047683.0,1,0,0,0
